"Version","Data Structure Name","Variable Set","Variable Name","Variable Label","Type","CDISC CT Codelist Code(s)","CDISC CT Codelist Submission Value(s)","Described Value Domain(s)","Value List Value","Core","CDISC Notes"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","ASTTMF","Analysis Start Time Imputation Flag","Char","C81226","TIMEFL","","","Cond","The level of imputation of analysis start time. Imputation flags are described in ADaMIG v1.2 Section 3.1.3, Date and Time Imputation Flag Variables. \n Conditional on whether ASTTM (or the time part of ASTDTM) was imputed"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","--ENDTC","End Date/Time of Observation","Char",,"","ISO 8601","","Cond","Copied from XX.--ENDTC \n Conditional on whether end date is pertinent for study and is populated in SDTM \n This variable label differs depending on the SDTM domain. See SDTM v1.7 Section 2.2.5, Timing Variables for All Classes, and SDTMIG v3.3 Section 6, Domain Models Based on the General Observation Classes, for details."
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","AENDT","Analysis End Date","Num",,"","","","Cond","Created from converting XX.--ENDTC from character ISO 8601 format to numeric date format, applying imputation rules if specified in the SAP or metadata \n Conditional on whether end date is pertinent for study and is populated in SDTM"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","AENTM","Analysis End Time","Num",,"","","","Cond","Created from converting XX.--ENDTC from character ISO 8601 format to numeric time format, applying imputation rules if specified in the SAP or metadata \n Conditional on whether end time is pertinent for study and is populated in SDTM"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","AENDTM","Analysis End Datetime","Num",,"","","","Cond","Created from converting XX.--ENDTC from character ISO 8601 format to numeric datetime format, applying imputation rules if specified in the SAP or metadata \n Conditional on whether end datetime is pertinent for study and is populated in SDTM"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","AENDTF","Analysis End Date Imputation Flag","Char","C81223","DATEFL","","","Cond","The level of imputation of analysis end date. Imputation flags are described in the ADaMIG v1.2 Section 3.1.3, Date and Time Imputation Flag Variables. \n Conditional on whether AENDT (or the date part of AENDTM) was imputed"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","AENTMF","Analysis End Time Imputation Flag","Char","C81226","TIMEFL","","","Cond","The level of imputation of analysis end time. Imputation flags are described in the ADaMIG v1.2 Section 3.1.3, Date and Time Imputation Flag Variables. \n Conditional on whether AENTM (or the date part of AENDTM) was imputed"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","ASTDY","Analysis Start Relative Day","Num",,"","","","Cond","The number of days from an anchor date (not necessarily DM.RFSTDTC) to ASTDT \n Example derivation: \n ASTDT - ADSL.TRTSDT + 1 if ASTDT >= ADSL.TRTSDT, else ASTDT - ADSL.TRTSDT if ASTDT< ADSL.TRTSDT \n This variable may instead be copied from --STDY. \n Conditional on whether analysis start relative day is pertinent to the study"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","--STDY","Study Day of Start of Observation*","Num",,"","","","Perm","Copied from XX.--STDY \n ASTDY may differ from --STDY due to date imputation and the option in ADaM to use a reference date other than SDTM's RFSTDTC. Including XX.--STDY in addition to ASTDY adds traceability. \n For SubClass ADVERSE EVENT, conditional on whether the AESTDY variable is in the SDTM AE dataset"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","AENDY","Analysis End Relative Day","Num",,"","","","Perm","The number of days from an anchor date (not necessarily DM.RFSTDTC) to AENDT \n Example derivation: \n AENDT - ADSL.TRTSDT + 1 if AENDT >= ADSL.TRTSDT, else AENDT - ADSL.TRTSDT if AENDT < ADSL.TRTSDT \n This variable may instead be copied from --ENDY."
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","--ENDY","Study Day of End of Observation*","Num",,"","","","Perm","Copied from XX.--ENDY \n AENDY may differ from --ENDY due to date imputation and the option in ADaM to use a reference date other than SDTM's RFSTDTC. Including XX.--ENDY in addition to AENDY adds traceability. \n For SubClass ADVERSE EVENT, conditional on whether the AEENDY variable is in the SDTM AE dataset"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","ADURN","Analysis Duration (N)","Num",,"","","","Perm","Derive from ASTDT (or ASTDTM) and AENDT (or AENDTM)."
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","ADURU","Analysis Duration Units","Char","C71620","UNIT","","","Cond","Conditional on whether ADURN is included"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","--DUR","Duration of XX","Char",,"","ISO 8601","","Perm","Copied from XX.--DUR \n Because --DUR is a collected field and ADURN is derived, the values will often differ. Including XX.--DUR in addition to ADURN adds traceability. \n For SubClass ADVERSE EVENT, conditional on whether the AEDUR variable is in the SDTM AE dataset"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","APERIOD","Period","Num",,"","","","Perm","APERIOD is a record-level timing variable that represents the analysis period within the study associated with the record for analysis purposes. The value of APERIOD (if populated) must be one of the xx values found in the ADSL TRTxxP variables. See ADaMIG v1.2 Section 3.3.3, Timing Variables for BDS variables for more information on this variable. \n For SubClass ADVERSE EVENT, conditional on whether multiple analysis periods are defined for the study"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","APERIODC","Period (C)","Char",,"","","","Perm","Text characterizing to which period the record belongs. One-to-one map to APERIOD."
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","APHASE","Phase","Char",,"","","","Perm","APHASE is a categorization of timing within a study, for example a higher-level categorization of APERIOD or an analysis epoch. For example, APHASE could describe spans of time for SCREENING, ON TREATMENT, and FOLLOW-UP. See the ADaM Implementation Guide v1.2 for more information on this variable."
"ADaM OCCDS v1.1","Occurrence Data Structure","SDTM Indicator","--OCCUR","XX Occurrence","Char","C66742","NY","","","Cond","Copied from XX.--OCCUR \n Conditional on whether this content is pertinent for analysis and is populated in SDTM \n SDTM does not allow variable AEOCCUR, so this variable is not available to include in ADaM."
"ADaM OCCDS v1.1","Occurrence Data Structure","SDTM Indicator","--PRESP","XX Pre-Specified","Char","C66742","NY","","","Cond","Copied from XX.--PRESP \n Conditional on whether this content is pertinent for analysis and is populated in SDTM"
"ADaM OCCDS v1.1","Occurrence Data Structure","Indicator","ANLzzFL","Analysis Flag zz","Char",,"","","Y","Cond","The ANLzzFL flag is useful in many circumstances; an example is when more than 1 coding path is included for analysis, in which case separate analysis flags could be used to denote primary coding path or the records used for analysis from each coding path. A codelist of Y, N, null may be used as described in ADaMIG v1.2 Section 3.3.8, Indicator Variables for BDS Datasets. \n This variable is conditional on whether analysis records flags are needed for analysis."
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Events Indicator","TRTEMFL","Treatment Emergent Analysis Flag","Char",,"","","Y","Cond","Treatment-emergent flag as defined for analysis \n Example derivation: \n If ADSL.TRTSDT<=ASTDT<=ADSL.TRTEDT + x days then TRTEMFL=""Y"" \n The number x in this derivation is defined by the producer and often incorporates the known half-life of the drug. \n For datasets other than SubClass ADVERSE EVENT, this variable is conditional on whether the concept of treatment emergent is a key feature of the analysis."
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Events Indicator","TREMxxFL","Treatment Emergent Period xx Flag","Char",,"","","Y","Cond","This variable is required if there are multiple periods where treatment emergence is a key feature of the analysis for each period. \n If TREMxxFL is included, TRTEMFL is defined as the overall treatment-emergent flag."
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Events Indicator","TRTEMwFL","Treatment Emergent Analysis w Flag","Char",,"","","Y","Perm","This variable is used if there are other analysis needs (e.g., different cut-offs) where treatment emergence is a key feature of the analysis. \n If TREMwFL is included, TRTEMFL is defined as the overall treatment-emergent flag."
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Events Indicator","AETRTEM","Treatment Emergent Flag","Char","C66742","NY","","","Perm","Treatment-emergent flag from SDTM, if available. See SDTMIG v3.3, Appendix C2, Supplemental Qualifiers Name Codes, for more information. \n Derivation: \n SUPPAE.QVAL where QNAM=""AETRTEM"" \n TRTEMFL may differ from AETRTEM due to different definitions, date imputation, and other analysis rules. Including AETRTEM in addition to TRTEMFL will add traceability. \n For SubClass ADVERSE EVENT, conditional on whether the AETRTEM variable is in the SDTM AE dataset and populated"
"ADaM OCCDS v1.1","Occurrence Data Structure","Concomitant Medications Indicator","ONTRTFL","On Treatment Record Flag","Char",,"","","Y","Cond","Character indicator of whether the observation occurred while the subject was on treatment. A codelist of Y, N, null may be used as described in ADaMIG Section 3.3.8, Indicator Variables for BDS Datasets. \n Example derivation: \n If ADSL.TRTSDT <= ASTDT <= ADSL.TRTEDT then ONTRTFL = ""Y"" \n This variable is conditional on whether the concept of on treatment is a feature of the study and used in analysis."
"ADaM OCCDS v1.1","Occurrence Data Structure","Concomitant Medications Indicator","ONTRxxFL","On Treatment Period xx Flag","Char",,"","","Y","Perm","This variable is used if there are multiple periods where on treatment is a key feature of the analysis for each period. \n If ONTRxxFL is included, ONTRTFL is defined as the overall on-treatment flag."
"ADaM OCCDS v1.1","Occurrence Data Structure","Concomitant Medications Indicator","ONTRTwFL","On Treatment Record w Flag","Char",,"","","Y","Perm","This variable is used if there are other analysis needs (e.g., different cut-offs) where on treatment is a key feature of the analysis. \n If ONTRTwFL is included, ONTRTFL is defined as the overall on-treatment flag."
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Events and Concomitant Medications Indicator","PREFL","Pre-treatment Flag","Char",,"","","Y","Cond","Character indicator of whether the observation occurred before the subject started treatment \n Example derivation: \n If ASTDT < ADSL.TRTSDT then PREFL=""Y"" \n This variable is conditional on whether the concept of pre-treatment is a feature of the study and used in analysis."
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Events and Concomitant Medications Indicator","FUPFL","Follow-up Flag","Char",,"","","Y","Cond","Character indicator of whether the observation occurred while the subject was on follow-up \n Example derivation: \n If ASTDT > ADSL.TRTEDT then FUPFL=""Y"" \n This variable is conditional on whether the concept of follow-up is a feature of the study and used in analysis."
"ADaM OCCDS v1.1","Occurrence Data Structure","Occurrence Flag","AOCCFL","1st Occurrence within Subject Flag","Char",,"","","Y","Perm","Character indicator for the first occurrence of any event/intervention/finding within the subject \n Example derivation: Sort the data in the required order and flag the first treatment emergent record for each subject."
"ADaM OCCDS v1.1","Occurrence Data Structure","Occurrence Flag","AOCCPFL","1st Occurrence of Preferred Term Flag","Char",,"","","Y","Perm","Character indicator for the first occurrence of the preferred term within the subject \n Example derivation: Sort the data in the required order and flag the first treatment emergent record for each --DECOD for each subject."
"ADaM OCCDS v1.1","Occurrence Data Structure","Occurrence Flag","AOCCIFL","1st Max Sev./Int. Occurrence Flag","Char",,"","","Y","Perm","Character indicator for the first occurrence of the event/intervention/finding with the maximum severity/intensity within the subject \n Example derivation: Sort the data in the required order and flag the first treatment emergent record for maximum severity for each subject."
"ADaM OCCDS v1.1","Occurrence Data Structure","Occurrence Flag","AOCCPIFL","1st Max Sev./Int. Occur Within PT Flag","Char",,"","","Y","Perm","Character indicator for the first occurrence of the maximum severity/intensity within the subject and preferred term \n Example derivation: Sort the data in the required order and flag the first treatment emergent record for maximum severity within preferred term for each subject."
"ADaM OCCDS v1.1","Occurrence Data Structure","Occurrence Flag","AOCCzzFL","1st Occurrence of ...","Char",,"","","Y","Perm","Additional flag variables as needed for analysis. Derivation rules for these flags need to be described in the metadata."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Occurrence Flag","AOCCSFL","1st Occurrence of SOC Flag","Char",,"","","Y","Perm","Character indicator for the first occurrence of the system organ class within the subject \n Example derivation: Sort the data in the required order and flag the first treatment-emergent record for each body system for each subject."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Occurrence Flag","AOCCSIFL","1st Max Sev./Int. Occur Within SOC Flag","Char",,"","","Y","Perm","Character indicator for the first occurrence of the maximum severity/intensity within the subject and system organ class \n Example derivation: Sort the data in the required order and flag the first treatment-emergent record for maximum severity within body system for each subject."
"ADaM OCCDS v1.1","Occurrence Data Structure","Treatment/Dose","DOSEON","Treatment Dose at Record Start","Num",,"","","","Perm","Dose received at the point in time of the record start date \n Example derivation: \n Obtained from EX.EXDOSE where --STDTC falls between the values of EX.EXSTDTC and EX.EXENDTC"
"ADaM OCCDS v1.1","Occurrence Data Structure","Treatment/Dose","DOSCUMA","Cumulative Actual Treatment Dose","Num",,"","","","Perm","Cumulative actual study drug dosage at the point in time of the record start date \n"
"ADaM OCCDS v1.1","Occurrence Data Structure","Treatment/Dose","DOSEU","Treatment Dose Units","Char","C71620","UNIT","","","Cond","The units associated with DOSEON and/or DOSCUMA. Conditional on whether DOSEON and/or DOSCUMA are included."
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","--SER","Serious Event","Char","C66742","NY","","","Perm","XX.--SER"
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","--SEV","Severity/Intensity","Char","C66769; C165643","AESEV; SEVRS","","","Perm","XX.--SEV \n For SubClass ADVERSE EVENT, conditional on whether the --SEV variable is in the SDTM AE dataset. Note that either --SEV or --TOXGR should be included in SDTM."
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","--SEVN","Severity/Intensity (N)","Num",,"","","1; 2; 3","Perm","Code XX.--SEV to numeric \n Low intensity should correspond to low value"
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","ASEV","Analysis Severity/Intensity","Char",,"","","","Perm","Apply imputation rules for missing severity of adverse events as specified in the SAP or metadata. May change case of text, such as from all uppercase in --SEV to mixed case in ASEV."
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","ASEVN","Analysis Severity/Intensity (N)","Num",,"","","1; 2; 3","Perm","Code ASEV to numeric \n Low intensity should correspond to low value"
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","SEVGRy","Pooled Severity Group y","Char",,"","","","Perm","Pooled grouping of AE severity for analysis (e.g., mild/moderate, severe)"
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","SEVGRyN","Pooled Severity Group y (N)","Num",,"","","","Perm","Code SEVGRy to numeric \n Low intensity should correspond to low value"
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","--REL","Causality","Char",,"","","","Perm","XX.--REL"
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","--RELN","Causality (N)","Num",,"","","","Perm","Code XX.--REL to numeric \n Low relation should correspond to low value"
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","AREL","Analysis Causality","Char",,"","","","Perm","Apply imputation rules for missing causality of study drug as specified in the SAP or metadata. May change case of text, such as from all uppercase in --REL to mixed case in AREL."
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","ARELN","Analysis Causality (N)","Num",,"","","","Perm","Code AREL to numeric"
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","RELGRy","Pooled Causality Group y","Char",,"","","","Perm","Pooled grouping of causality of study drug for analysis (e.g. related, not related)"
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","RELGRyN","Pooled Causality Group y (N)","Num",,"","","","Perm","Code of RELGRy to numeric \n Low relation should correspond to low value"
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","--TOXGR","Standard Toxicity Grade","Char",,"","","","Perm","XX.--TOXGR \n For SubClass ADVERSE EVENT, conditional on whether the --TOXGR variable is in the SDTM AE dataset. Note that either --SEV or --TOXGR should be included in SDTM."
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","--TOXGRN","Standard Toxicity Grade (N)","Num",,"","","","Perm","Code --TOXGR to numeric \n Low toxicity should correspond to low value"
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","ATOXGR","Analysis Toxicity Grade","Char",,"","","","Perm","Toxicity grade for analysis. May be based on --TOXGR or an imputed or assigned value. May change case of text, such as from all uppercase in --TOXGR to mixed case in ATOXGR."
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","ATOXGRN","Analysis Toxicity Grade (N)","Num",,"","","","Perm","Code ATOXGR to numeric \n Low toxicity should correspond to low value"
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","TOXGGRy","Pooled Toxicity Grade Group y","Char",,"","","","Perm","Pooled grouping of toxicity grade for analysis"
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","TOXGGRyN","Pooled Toxicity Grade Group y (N)","Num",,"","","","Perm","Code of TOXGGRy to numeric \n Low toxicity should correspond to low value"
"ADaM OCCDS v1.1","Occurrence Data Structure","Adverse Event Descriptive","--ACN","Action Taken with Study Treatment","Char","C66767","ACN","","","Perm","XX.--ACN \n Required if XX.--ACN is present and populated"
"ADaM OCCDS v1.1","Occurrence Data Structure","Concomitant Medications Descriptive","--STAT","Completion Status","Char",,"","","","Perm","XX.--STAT"
"ADaM OCCDS v1.1","Occurrence Data Structure","Concomitant Medications Descriptive","--INDC","Indication","Char",,"","","","Perm","XX.--INDC"
"ADaM OCCDS v1.1","Occurrence Data Structure","Concomitant Medications Descriptive","--DOSE","Dose per Administration","Num",,"","","","Perm","XX.--DOSE"
"ADaM OCCDS v1.1","Occurrence Data Structure","Concomitant Medications Descriptive","--DOSFRM","Dose Form","Char",,"","","","Perm","XX.--DOSFRM"
"ADaM OCCDS v1.1","Occurrence Data Structure","Concomitant Medications Descriptive","--DOSRGM","Intended Dose Regimen","Char",,"","","","Perm","XX.--DOSRGM"
"ADaM OCCDS v1.1","Occurrence Data Structure","Concomitant Medications Descriptive","--ROUTE","Route of Administration","Char",,"","","","Perm","XX.--ROUTE"
"ADaM OCCDS v1.1","Occurrence Data Structure","Standardized MedDRA Query","SMQzzNAM","SMQ zz Name","Char",,"","","","Cond","The Standardized MedDRA Query name. Would be blank for terms that are not in the SMQ. Therefore this variable could be blank for all records if no terms within the study were included in the SMQ. \n Conditional on whether SMQ analysis is done"
"ADaM OCCDS v1.1","Occurrence Data Structure","Standardized MedDRA Query","SMQzzCD","SMQ zz Code","Num",,"","","","Perm","The standardized MedDRA queries number code"
