"Version","Data Structure Name","Variable Set","Variable Name","Variable Label","Type","CDISC CT Codelist Code(s)","CDISC CT Codelist Submission Value(s)","Described Value Domain(s)","Value List Value","Core","CDISC Notes"
"ADaM OCCDS v1.1","Occurrence Data Structure","Identifier","STUDYID","Study Identifier","Char",,"","","","Req","XX.STUDYID"
"ADaM OCCDS v1.1","Occurrence Data Structure","Identifier","USUBJID","Unique Subject Identifier","Char",,"","","","Req","XX.USUBJID"
"ADaM OCCDS v1.1","Occurrence Data Structure","Identifier","SUBJID","Subject Identifier for the Study","Char",,"","","","Perm","ADSL.SUBJID"
"ADaM OCCDS v1.1","Occurrence Data Structure","Identifier","SITEID","Study Site Identifier","Char",,"","","","Perm","ADSL.SITEID"
"ADaM OCCDS v1.1","Occurrence Data Structure","Row Identifier","--SEQ","Sequence Number","Num",,"","","","Cond","XX.--SEQ \n Identifies the sequence number in SDTM domain XX that is the source for this row. This variable would be copied unchanged from the SDTM domain XX. Required for traceability back to SDTM when rows in the dataset are created from a single SDTM domain. This may be missing for derived rows. \n For SubClass ADVERSE EVENT, use AESEQ, copied from SDTM AE.AESEQ."
"ADaM OCCDS v1.1","Occurrence Data Structure","Row Identifier","SRCDOM","Source Data","Char",,"","","","Perm","Identifies the name of the domain or dataset that is the source for this row. If the source data is a supplemental qualifier in SDTM, this variable will contain the value of RDOMAIN in SUPP-- or SUPPQUAL. Used when rows in the OCCDS dataset are from multiple SDTM domains or from one or more ADaM datasets. Not to be used in conjunction with --SEQ. This may be missing for derived rows. \n For SubClass ADVERSE EVENT, AESEQ is used rather than SRCDOM and SRCSEQ."
"ADaM OCCDS v1.1","Occurrence Data Structure","Row Identifier","SRCSEQ","Source Sequence Number","Num",,"","","","Perm","Identifies the sequence number that is the source for this row. If SRCDOM is a SUPPQUAL, then this variable will contain the sequence number of the relevant related domain record. Used when rows in the OCCDS dataset are from multiple SDTM domains or from one or more ADaM datasets. Not to be used in conjunction with --SEQ. This may be missing for derived rows. \n For SubClass ADVERSE EVENT, AESEQ is used rather than SRCDOM and SRCSEQ."
"ADaM OCCDS v1.1","Occurrence Data Structure","Row Identifier","ASEQ","Analysis Sequence Number","Num",,"","","","Perm","Sequence number given to ensure uniqueness of subject records within an ADaM dataset. \n ASEQ is useful for traceability when the OCCDS dataset is used as input to another ADaM dataset and the --SEQ variable is not included or unique. ASEQ is described in more detail in ADaMIG v1.2, Section 3.3.1, Identifier Variables for BDS Datasets."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Dictionary Coding","--TERM","Reported Term","Char",,"","","","Req","Copied from XX.--TERM \n This variable label differs depending on the SDTM domain. See SDTM v1.7 Section 2.2.2, The Events Observation Class, and SDTMIG v3.3 Section 6.2, Models for Events Domains, for details."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Dictionary Coding","--DECOD","Dictionary-Derived Term","Char",,"","MedDRA","","Cond","Copied from XX.--DECOD \n This variable is typically one of the primary variables used in an analysis and would be brought in from the SDTM domain. Equivalent to the MedDRA PT. All other SDTM domain variables and supplemental qualifiers needed for analysis or traceability should also be included. Include the dictionary version in the metadata. \n Conditional on whether coded and used for analysis. Required for adverse event data."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Dictionary Coding","--BODSYS","Body System or Organ Class","Char",,"","MedDRA","","Cond","Copied from XX.--BODSYS \n Include the dictionary version in the metadata. \n Conditional on whether coded and used for analysis. Required for adverse event data."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Dictionary Coding","--BDSYCD","Body System or Organ Class Code","Num",,"","MedDRA","","Perm","Copied from XX.--BDSYCD or the supplemental qualifier \n This would be copied from the SDTM domain XX or supplemental qualifier dataset. Include the dictionary version in the metadata."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Dictionary Coding","--LLT","Lowest Level Term","Char",,"","MedDRA","","Cond","Copied from XX.-- LLT or the supplemental qualifier \n Include the dictionary version in the metadata. \n Conditional on whether coded and used for analysis."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Dictionary Coding","--LLTCD","Lowest Level Term Code","Num",,"","MedDRA","","Perm","Copied from XX.--LLTCD or the supplemental qualifier \n Include the dictionary version in the metadata."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Dictionary Coding","--PTCD","Preferred Term Code","Num",,"","MedDRA","","Perm","Copied from XX.--PTCD or the supplemental qualifier \n Include the dictionary version in the metadata."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Dictionary Coding","--HLT","High Level Term","Char",,"","MedDRA","","Cond","Copied from XX.--HLT or the supplemental qualifier \n Include the dictionary version in the metadata. \n Conditional on whether used for analysis."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Dictionary Coding","--HLTCD","High Level Term Code","Num",,"","MedDRA","","Perm","Copied from XX.--HLTCD or the supplemental qualifier \n Include the dictionary version in the metadata."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Dictionary Coding","--HLGT","High Level Group Term","Char",,"","MedDRA","","Cond","Copied from XX.--HLGT or the supplemental qualifier \n Include the dictionary version in the metadata. \n Conditional on whether used for analysis."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Dictionary Coding","--HLGTCD","High Level Group Term Code","Num",,"","MedDRA","","Perm","Copied from XX.--HLGTCD or the supplemental qualifier \n Include the dictionary version in the metadata."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Dictionary Coding","--SOC","Primary System Organ Class","Char",,"","MedDRA","","Cond","Copied from XX.--SOC or the supplemental qualifier \n Include the dictionary version in the metadata. \n Conditional on whether a secondary SOC was used for analysis."
"ADaM OCCDS v1.1","Occurrence Data Structure","MedDRA Dictionary Coding","--SOCCD","Primary System Organ Class Code","Num",,"","MedDRA","","Perm","Copied from XX.--SOCCD or the supplemental qualifier \n Include the dictionary version in the metadata."
"ADaM OCCDS v1.1","Occurrence Data Structure","WHO Drug Dictionary Coding","CMTRT","Reported Name of Drug, Med, or Therapy","Char",,"","","","Req","CM.CMTRT"
"ADaM OCCDS v1.1","Occurrence Data Structure","WHO Drug Dictionary Coding","CMDECOD","Standardized Medication Name","Char",,"","WHO Drug","","Cond","CM.CMDECOD \n This is typically one of the primary variables used in CM analysis and would be copied from the SDTM CM domain. Include the dictionary version in the variable metadata. \n Conditional on whether coded and used for analysis."
"ADaM OCCDS v1.1","Occurrence Data Structure","WHO Drug Dictionary Coding","CMCLAS","Medication Class","Char",,"","","","Perm","CM.CMCLAS \n Include the dictionary version in the metadata."
"ADaM OCCDS v1.1","Occurrence Data Structure","WHO Drug Dictionary Coding","CMCLASCD","Medication Class Code","Char",,"","","","Perm","CM.CMCLASCD \n Include the dictionary version in the metadata."
"ADaM OCCDS v1.1","Occurrence Data Structure","WHO Drug Dictionary Coding","ATCy","ATC Level y Text","Char",,"","WHO Drug","","Cond","Corresponds to the ATC Level Text for WHO Drug. Include the dictionary version in the variable metadata. \n Conditional, based on analysis at multiple levels (y)"
"ADaM OCCDS v1.1","Occurrence Data Structure","WHO Drug Dictionary Coding","ATCyCD","ATC Level y Code","Char",,"","WHO Drug","","Cond","Corresponds to the ATC Level Code for WHO Drug. Include the dictionary version in the variable metadata. \n Conditional, based on analysis at multiple levels (y)"
"ADaM OCCDS v1.1","Occurrence Data Structure","Other Categorization","--CAT","Category","Char",,"","","","Perm","Copied from XX.--CAT \n This variable label differs depending on the SDTM domain. See SDTM v1.7 Section 2.2, The General Observation Classes, and SDTMIG v3.3 Section 6, Domain Models Based on the General Observation Classes, for details."
"ADaM OCCDS v1.1","Occurrence Data Structure","Other Categorization","--SCAT","Subcategory","Char",,"","","","Perm","Copied from XX.--SCAT \n This variable label differs depending on the SDTM domain. See SDTM v1.7 Section 2.2, The General Observation Classes, and SDTMIG v3.3 Section 6, Domain Models Based on the General Observation Classes, for details."
"ADaM OCCDS v1.1","Occurrence Data Structure","Other Categorization","ACATy","Analysis Category y","Char",,"","","","Perm","Category used in analysis. May be derived from --CAT and/or --SCAT. Examples include records of special interest like prohibited medications, concomitant medications taken during an infusion reaction, growth factors, antimicrobial medications, and other such categories not defined elsewhere or present in SDTM domains."
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","--STDTC","Start Date/Time of Observation","Char",,"","ISO 8601","","Cond","Copied from XX.-STDTC \n Conditional on whether start date is pertinent for study and is populated in SDTM \n This variable label differs depending on the SDTM domain. See SDTM v1.7 Section 2.2.5, Timing Variables for All Classes, and SDTMIG v3.3 Section 6, Domain Models Based on the General Observation Classes for details."
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","ASTDT","Analysis Start Date","Num",,"","","","Cond","Created from converting XX.--STDTC from character ISO 8601 format to numeric date format, applying imputation rules if specified in the statistical analysis plan (SAP) or metadata \n Conditional on whether start date is pertinent for study and is populated in SDTM"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","ASTTM","Analysis Start Time","Num",,"","","","Cond","Created from converting XX.--STDTC from character ISO 8601 format to numeric time format, applying imputation rules if specified in the SAP or metadata \n Conditional on whether start time is pertinent for study and is populated in SDTM"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","ASTDTM","Analysis Start Datetime","Num",,"","","","Cond","Created from converting XX.--STDTC from character ISO 8601 format to numeric datetime format, applying imputation rules if specified in the SAP or metadata \n Conditional on whether start datetime is pertinent for study and is populated in SDTM"
"ADaM OCCDS v1.1","Occurrence Data Structure","Timing","ASTDTF","Analysis Start Date Imputation Flag","Char","C81223","DATEFL","","","Cond","The level of imputation of analysis start date. Imputation flags are described in ADaMIG v1.2 Section 3.1.3, Date and Time Imputation Flag Variables. \n Conditional on whether ASTDT (or the date part of ASTDTM) was imputed"
